,params,firstChar,included
0,2930,2,True
1,4782,4,True
2,709,7,True
3,433,4,True
4,29861,2,True
5,20115,2,True
6,15114,1,True
7,2417,2,True
8,737,7,True
9,966,9,True
10,8863,8,True
11,355,3,True
12,23561,2,True
13,8272,8,True
14,1288,1,True
15,1961,1,True
16,746,7,True
17,318,3,True
18,2100,2,True
19,1890,1,True
20,2643,2,True
21,24194,2,True
22,10109,1,True
23,6587,6,True
24,57828,5,True
25,877,8,True
26,488,4,True
27,624,6,True
28,722,7,True
29,322,3,True
30,222,2,True
31,8342,8,True
32,3163,3,True
33,990,9,True
34,384,3,True
35,205,2,True
36,207,2,True
37,42,4,True
38,1172,1,True
39,28772,2,True
40,118,1,True
41,230131,2,True
42,210,2,True
43,2000,2,True
44,118,1,True
45,8501,8,True
46,331,3,True
47,94,9,True
48,905,9,True
49,4182,4,True
50,5240,5,True
51,2602,2,True
52,3376,3,True
53,941,9,True
54,1337,1,True
55,1979,1,True
56,2259,2,True
57,1689,1,True
58,10984,1,True
59,2144,2,True
60,1213,1,True
61,2026,2,True
62,81,8,True
63,245,2,True
64,910,9,True
65,548,5,True
66,1635,1,True
67,15519,1,True
68,3461,3,True
69,2609,2,True
70,1147,1,True
71,4596,4,True
72,1161,1,True
73,5934,5,True
74,4935,4,True
75,3751,3,True
76,8929,8,True
77,8409,8,True
78,493,4,True
79,1392,1,True
80,1427,1,True
81,2354,2,True
82,1192,1,True
83,256,2,True
84,339,3,True
85,819,8,True
86,2000,2,True
87,412,4,True
88,853,8,True
89,4090,4,True
90,1687,1,True
91,2260,2,True
92,1215,1,True
93,271,2,True
94,761,7,True
95,1660,1,True
96,2073,2,True
97,1513,1,True
98,306,3,True
99,15302,1,True
100,111,1,True
101,3233,3,True
102,4532,4,True
103,19542,1,True
104,1602,1,True
105,260,2,True
106,58,5,True
107,379,3,True
108,56411,5,True
109,7300,7,True
110,223,2,True
111,653,6,True
112,2410,2,True
113,67525,6,True
114,971,9,True
115,632,6,True
116,394,3,True
117,303,3,True
118,2471,2,True
119,1160,1,True
120,195,1,True
121,4213,4,True
122,1514,1,True
123,172,1,True
124,556,5,True
125,767,7,True
126,28,2,True
127,25885,2,True
128,179,1,True
129,75,7,True
130,14521,1,True
131,2845,2,True
132,593,5,True
133,3460,3,True
134,602,6,True
135,11336,1,True
136,17550,1,True
137,615,6,True
138,1218,1,True
139,82,8,True
140,4657,4,True
141,136,1,True
142,1538,1,True
143,1869,1,True
144,38119,3,True
145,14197,1,True
146,574,5,True
147,1156,1,True
148,14165,1,True
149,142,1,True
150,1331,1,True
151,285,2,True
152,294,2,True
153,6993,6,True
154,1060,1,True
155,36719,3,True
156,192,1,True
157,237,2,True
158,593,5,True
159,13720,1,True
160,141,1,True
161,140,1,True
162,4445,4,True
163,1550,1,True
164,844,8,True
165,166,1,True
166,468,4,True
167,5321,5,True
168,194,1,True
169,36,3,True
170,2090,2,True
171,1477,1,True
172,1521,1,True
173,425,4,True
174,293,2,True
175,303,3,True
176,721,7,True
177,2392,2,True
178,2527,2,True
179,6929,6,True
180,453,4,True
181,1319,1,True
182,2149,2,True
183,10268,1,True
184,8601,8,True
185,877,8,True
186,191,1,True
187,1428,1,True
188,109,1,True
189,4068,4,True
190,6314,6,True
191,545,5,True
192,3448,3,True
193,1834,1,True
194,2420,2,True
195,13955,1,True
196,550,5,True
197,1087,1,True
198,3997,3,True
199,248,2,True
200,3533,3,True
201,15182,1,True
202,2611,2,True
203,506,5,True
204,590,5,True
205,871,8,True
206,283,2,True
207,4458,4,True
208,783,7,True
209,918,9,True
210,23993,2,True
211,72989,7,True
212,234,2,True
213,15846,1,True
214,179652,1,True
215,545,5,True
216,311,3,True
217,721,7,True
218,2625,2,True
219,9778,9,True
220,5096,5,True
221,766,7,True
222,10183,1,True
223,14029,1,True
224,3000,3,True
225,254,2,True
226,222,2,True
227,490,4,True
228,1142,1,True
229,2880,2,True
230,2017,2,True
231,622,6,True
232,2882,2,True
233,176,1,True
234,2455,2,True
235,7045,7,True
236,250,2,True
237,11473,1,True
238,818,8,True
239,828,8,True
240,123,1,True
241,1526,1,True
242,844,8,True
243,104,1,True
244,6088,6,True
245,2224,2,True
246,2320,2,True
247,2034,2,True
248,569,5,True
249,1042,1,True
250,2881,2,True
251,162,1,True
252,538,5,True
253,1197,1,True
254,572,5,True
255,123,1,True
256,1998,1,True
257,2747,2,True
258,713,7,True
259,230,2,True
260,602,6,True
261,59,5,True
262,39875,3,True
263,341,3,True
264,684,6,True
265,1229,1,True
266,698,6,True
267,1282,1,True
268,3281,3,True
269,434,4,True
270,31,3,True
271,485,4,True
272,5208,5,True
273,1890,1,True
274,495,4,True
275,16893,1,True
276,1003,1,True
277,586,5,True
278,193205,1,True
279,6285,6,True
280,6447,6,True
281,202124,2,True
282,13845,1,True
283,66,6,True
284,1903,1,True
285,1006,1,True
286,3234,3,True
287,2545,2,True
288,332,3,True
289,21094,2,True
290,815,8,True
291,895,8,True
292,1416,1,True
293,13073,1,True
294,129,1,True
295,395,3,True
296,27,2,True
297,281,2,True
298,429,4,True
299,87,8,True
300,222,2,True
301,1247,1,True
302,2845,2,True
303,837,8,True
304,1652,1,True
305,543,5,True
306,798,7,True
307,132,1,True
308,23422,2,True
309,826,8,True
310,459,4,True
311,35,3,True
312,915,9,True
313,2898,2,True
314,1268,1,True
315,7085,7,True
316,209,2,True
317,27454,2,True
318,6524,6,True
319,6221,6,True
320,203,2,True
321,1730,1,True
322,20800,2,True
323,14588,1,True
324,181,1,True
325,1243,1,True
326,21700,2,True
327,13112,1,True
328,319,3,True
329,63,6,True
330,31100,3,True
331,1055,1,True
332,624,6,True
333,4961,4,True
334,3334,3,True
335,622,6,True
336,305,3,True
337,878,8,True
338,263,2,True
339,6899,6,True
340,689,6,True
341,10287,1,True
342,438,4,True
343,118,1,True
344,987,9,True
345,32696,3,True
346,2883,2,True
347,27576,2,True
348,294,2,True
349,2184,2,True
350,9387,9,True
351,5041,5,True
352,482,4,True
353,3314,3,True
354,545,5,True
355,617,6,True
356,1756,1,True
357,1274,1,True
358,300,3,True
359,152,1,True
360,606,6,True
361,2068,2,True
362,155,1,True
363,6649,6,True
364,5120,5,True
365,387,3,True
366,1207,1,True
367,360,3,True
368,8961,8,True
369,514,5,True
370,517,5,True
371,2025,2,True
372,517,5,True
373,270,2,True
374,13043,1,True
375,2129,2,True
376,6032,6,True
377,14879,1,True
378,752,7,True
379,18278,1,True
380,9031,9,True
381,314,3,True
382,367,3,True
383,473,4,True
384,704,7,True
385,546,5,True
386,877,8,True
387,2047,2,True
388,4782,4,True
389,859,8,True
390,653,6,True
391,8495,8,True
392,520,5,True
393,7539,7,True
394,3731,3,True
395,1246,1,True
396,2007,2,True
397,1951,1,True
398,2553,2,True
399,768,7,True
400,846,8,True
401,217,2,True
402,13040,1,True
403,1401,1,True
404,1535,1,True
405,16735,1,True
406,123,1,True
407,5237,5,True
408,6518,6,True
409,2027,2,True
410,361,3,True
411,4416,4,True
412,2100,2,True
413,1203,1,True
414,135,1,True
415,498,4,True
416,502,5,True
417,2031,2,True
418,15142,1,True
419,19208,1,True
420,93138,9,True
421,8374,8,True
422,11063,1,True
423,376,3,True
424,206,2,True
425,101,1,True
426,4770,4,True
427,1519,1,True
428,9841,9,True
429,3794,3,True
430,657,6,True
431,1220,1,True
432,1872,1,True
433,31121,3,True
434,417,4,True
435,2024,2,True
436,307,3,True
437,645,6,True
438,276,2,True
439,702,7,True
440,3153,3,True
441,212,2,True
442,173,1,True
443,2926,2,True
444,1395,1,True
445,816,8,True
446,1406,1,True
447,409,4,True
448,1313,1,True
449,605,6,True
450,7798,7,True
451,935,9,True
452,1848,1,True
453,676,6,True
454,4534,4,True
455,208,2,True
456,1081,1,True
457,743,7,True
458,175,1,True
459,2477,2,True
460,361,3,True
461,74,7,True
462,310,3,True
463,812,8,True
464,714,7,True
465,222,2,True
466,84,8,True
467,320,3,True
468,256,2,True
469,286174,2,True
470,272,2,True
471,436,4,True
472,575,5,True
473,90,9,True
474,76,7,True
475,207,2,True
476,4091,4,True
477,6522,6,True
478,37,3,True
479,278,2,True
480,419,4,True
481,396,3,True
482,839,8,True
483,63,6,True
484,120,1,True
485,75,7,True
486,178,1,True
487,76,7,True
488,2240,2,True
489,1195,1,True
490,140,1,True
491,949,9,True
492,2481,2,True
493,147,1,True
494,147,1,True
495,282,2,True
496,92,9,True
497,131,1,True
498,316,3,True
499,842,8,True
500,35252,3,True
501,55,5,True
502,513,5,True
503,592,5,True
504,652,6,True
505,145,1,True
506,231,2,True
507,168,1,True
508,346,3,True
509,197,1,True
510,5998,5,True
511,697,6,True
512,1112,1,True
513,2253,2,True
514,68,6,True
515,254,2,True
516,340,3,True
517,30796,3,True
518,452,4,True
519,631,6,True
520,265,2,True
521,199,1,True
522,34,3,True
523,7945,7,True
524,7515,7,True
525,400,4,True
526,750,7,True
527,388,3,True
528,745,7,True
529,112,1,True
530,6357,6,True
531,650,6,True
532,3150,3,True
533,299,2,True
534,88,8,True
535,21,2,True
536,718,7,True
537,106,1,True
538,269,2,True
539,346,3,True
540,402,4,True
541,383,3,True
542,211,2,True
543,827,8,True
544,355,3,True
545,392,3,True
546,341,3,True
547,128,1,True
548,474,4,True
549,209,2,True
550,85,8,True
551,3653,3,True
552,176,1,True
553,654,6,True
554,2226,2,True
555,379,3,True
556,291,2,True
557,180,1,True
558,469,4,True
559,219,2,True
560,208,2,True
561,8428,8,True
562,124,1,True
563,2820,2,True
564,80,8,True
565,604,6,True
566,41,4,True
567,687,6,True
568,73,7,True
569,95,9,True
570,237,2,True
571,557,5,True
572,163,1,True
573,325,3,True
574,125,1,True
575,548,5,True
576,370,3,True
577,437,4,True
578,962,9,True
579,648,6,True
580,364,3,True
581,512,5,True
582,797,7,True
583,319,3,True
584,3171,3,True
585,111,1,True
586,232,2,True
587,566,5,True
588,265,2,True
589,8747,8,True
590,4515,4,True
591,552,5,True
592,265,2,True
593,269,2,True
594,91,9,True
595,491,4,True
596,814,8,True
597,536,5,True
598,752,7,True
599,3580,3,True
600,231,2,True
601,3792,3,True
602,494,4,True
603,153,1,True
604,10692,1,True
605,205,2,True
606,157,1,True
607,2147,2,True
608,34284,3,True
609,85212,8,True
610,5144,5,True
611,5962,5,True
612,51735,5,True
613,40747,4,True
614,10871,1,True
615,3888,3,True
616,43878,4,True
617,5505,5,True
618,249535,2,True
619,11182,1,True
620,4252,4,True
621,2569,2,True
622,4668,4,True
623,11079,1,True
624,11361,1,True
625,3809,3,True
626,17451,1,True
627,766,7,True
628,4516,4,True
629,24814,2,True
630,13308,1,True
631,60611,6,True
632,21769,2,True
633,25388,2,True
634,1145,1,True
635,1834,1,True
636,222075,2,True
637,253209,2,True
638,7157,7,True
639,63688,6,True
640,5972,5,True
641,808,8,True
642,5083,5,True
643,1956,1,True
644,378,3,True
645,3446,3,True
646,27521,2,True
647,55657,5,True
648,5178,5,True
649,2701,2,True
650,35124,3,True
651,44691,4,True
652,467157,4,True
653,1765,1,True
654,20017,2,True
655,44003,4,True
656,7073,7,True
657,15184,1,True
658,3120,3,True
659,793,7,True
660,15547,1,True
661,163226,1,True
662,1593659,1,True
663,2198,2,True
664,4522,4,True
665,42749,4,True
666,38463,3,True
667,3466,3,True
668,26098,2,True
669,9832,9,True
670,24834,2,True
671,3675,3,True
672,25682,2,True
673,237844,2,True
674,11598,1,True
675,12346,1,True
676,43227,4,True
677,5686,5,True
678,12754,1,True
679,6042,6,True
680,2005,2,True
681,1969,1,True
682,3525,3,True
683,95236,9,True
